year,iso3,country,who_region,latitude,longitude,syndrome,confirmed_cases,deaths,recovered,case_fatality_rate,hospitalized,icu_admissions,human_to_human_cases
1993,ARG,Argentina,AMRO,-34.6,-58.4,HPS,35,11,24,0.3426,30,8,0
1993,CHL,Chile,AMRO,-33.4,-70.6,HPS,0,0,0,0.2587,0,0,0
1993,BRA,Brazil,AMRO,-15.8,-47.9,HPS,0,0,0,0.4455,0,0,0
1993,BOL,Bolivia,AMRO,-16.5,-68.2,HPS,0,0,0,0.2775,0,0,0
1993,PRY,Paraguay,AMRO,-25.3,-57.6,HPS,0,0,0,0.2666,0,0,0
1993,URY,Uruguay,AMRO,-34.9,-56.2,HPS,0,0,0,0.255,0,0,0
1993,PAN,Panama,AMRO,9.0,-79.5,HPS,0,0,0,0.3271,0,0,0
1993,USA,USA,AMRO,38.9,-77.0,HPS,11,3,8,0.3171,7,2,0
1993,CAN,Canada,AMRO,45.4,-75.7,HPS,0,0,0,0.3551,0,0,0
1993,CRI,Costa Rica,AMRO,9.9,-84.1,HPS,0,0,0,0.266,0,0,0
1993,CHN,China,WPRO,39.9,116.4,HFRS,5447,252,5195,0.0464,4165,1314,0
1993,KOR,South Korea,WPRO,37.6,127.0,HFRS,362,7,355,0.0204,302,59,0
1993,JPN,Japan,WPRO,35.7,139.7,HFRS,0,0,0,0.0255,0,0,0
1993,RUS,Russia,EURO,55.8,37.6,HFRS,10218,384,9834,0.0377,7378,1468,0
1993,FIN,Finland,EURO,60.2,24.9,HFRS,838,1,837,0.0023,668,145,0
1993,DEU,Germany,EURO,52.5,13.4,HFRS,0,0,0,0.0021,0,0,0
1993,SWE,Sweden,EURO,59.3,18.1,HFRS,0,0,0,0.0034,0,0,0
1993,BEL,Belgium,EURO,50.8,4.4,HFRS,0,0,0,0.0014,0,0,0
1993,FRA,France,EURO,48.9,2.3,HFRS,0,0,0,0.0032,0,0,0
1993,HRV,Croatia,EURO,45.8,16.0,HFRS,0,0,0,0.0246,0,0,0
1993,SVN,Slovenia,EURO,46.1,14.5,HFRS,0,0,0,0.0119,0,0,0
1993,GRC,Greece,EURO,37.97,23.73,HFRS,0,0,0,0.0455,0,0,0
1993,GBR,United Kingdom,EURO,51.5,-0.1,HFRS,0,0,0,0.0243,0,0,0
1993,TWN,Taiwan,WPRO,25.0,121.5,HFRS,0,0,0,0.0248,0,0,0
